"","Time..CST.","Temp.","Windchill","Dew.Point","Humidity","Pressure","Visibility","Wind.Dir","Wind.Speed","Gust.Speed","Precip","Events","Conditions"
"1","12:00 AM","28.4","23.4 °F","19.4","69","29.65","2.5","NNW","4.5","-","N/A","","Smoke"
"2","12:30 AM","26.6","21.3 °F","19.4","74","29.65","2.5","North","4.5","-","N/A","","Smoke"
"3","1:00 AM","28.4","23.4 °F","19.4","69","29.62","1.9","NNW","4.5","-","N/A","","Smoke"
"4","1:30 AM","28.4","23.4 °F","19.4","69","29.62","2.5","NNW","4.5","-","N/A","","Smoke"
"5","2:00 AM","30","-","18","49","29.62","6","West","2.2","-","-","","Haze"
"6","2:00 AM","28.4","21.4 °F","19.4","69","29.62","3.1","NNW","6.7","-","N/A","","Smoke"
"7","2:30 AM","30.2","23.5 °F","21.2","69","29.62","3.1","WNW","6.7","-","N/A","","Smoke"
"8","3:00 AM","30.2","23.5 °F","21.2","69","29.62","3.1","WNW","6.7","-","N/A","","Smoke"
"9","3:30 AM","30.2","25.5 °F","19.4","64","29.62","3.1","NW","4.5","-","N/A","","Smoke"
"10","4:00 AM","26.6","19.2 °F","19.4","74","29.59","3.1","North","6.7","-","N/A","","Smoke"
"11","4:30 AM","28.4","23.4 °F","21.2","74","29.59","4.3","NW","4.5","-","N/A","","Unknown"
"12","5:00 AM","30.2","25.5 °F","19.4","64","29.59","4.3","NW","4.5","-","N/A","","Unknown"
"13","5:30 AM","28.4","-","19.4","69","29.59","4.3","Variable","2.2","-","N/A","","Unknown"
"14","6:00 AM","28.4","23.4 °F","19.4","69","29.59","4.3","NNW","4.5","-","N/A","","Unknown"
"15","6:30 AM","26.6","-","19.4","74","29.59","4.3","Variable","2.2","-","N/A","","Unknown"
"16","7:00 AM","26.6","-","19.4","74","29.59","3.1","Variable","2.2","-","N/A","","Smoke"
"17","7:30 AM","32.0","25.7 °F","21.2","64","29.59","2.2","West","6.7","-","N/A","","Smoke"
"18","8:00 AM","35","-","19","38","29.63","4","NNW","4.5","-","-","","Haze"
"19","8:00 AM","35.6","26.8 °F","21.2","56","29.59","2.2","WSW","13.4","-","N/A","","Smoke"
"20","8:30 AM","35.6","28.7 °F","21.2","56","29.62","1.9","SW","8.9","-","N/A","","Smoke"
"21","9:00 AM","44.6","35.2 °F","17.6","34","29.62","3.1","WNW","26.8","40.3 mph","N/A","","Widespread Dust"
"22","9:30 AM","44.6","34.9 °F","15.8","31","29.65","4.3","WNW","29.1","40.3 mph","N/A","","Widespread Dust"
